rank,Player,Age,Nationality,Flag,Pts
933,Gabriele Bosio,24,ITA,IT,18
935,Niccolo Ciavarella,20,ITA,IT,18
936,Pietro Marino,23,ITA,IT,18
942,Giorgio Tabacco,21,ITA,IT,17
944,Niccolo Baroni,21,ITA,IT,17
947,Luca Giacomini,27,ITA,IT,17
990,Andrea Fiorentini,24,ITA,IT,15
991,Gian Marco Ortenzi,25,ITA,IT,15
993,Matteo De Vincentis,26,ITA,IT,15
267,Abdullah Shelbayh,21,JOR,,201
60,Yoshihito Nishioka,29,JPN,,922
71,Kei Nishikori,35,JPN,,793
118,Taro Daniel,32,JPN,,501
156,Yasutaka Uchiyama,32,JPN,,365
166,Shintaro Mochizuki,21,JPN,,340
179,James Trotter,25,JPN,,317
180,Yuta Shimizu,25,JPN,,317
189,Sho Shimabukuro,27,JPN,,311
230,Rio Noguchi,26,JPN,,237
332,Masamichi Imamura,26,JPN,,155
345,Yosuke Watanuki,26,JPN,,144
355,Naoki Nakagawa,28,JPN,,141
365,Kaichi Uchida,30,JPN,,136
370,Rei Sakamoto,18,JPN,,134
406,Hiroki Moriya,34,JPN,,116
453,Kokoro Isomura,22,JPN,,94
515,Yusuke Takahashi,27,JPN,,75
543,Hikaru Shiraishi,24,JPN,,67
557,Takuya Kumasaka,26,JPN,,65
566,Shintaro Imai,31,JPN,,62
575,Ryotaro Taguchi,24,JPN,,61
583,Keisuke Saitoh,23,JPN,,59
